"planet_key","PLANET","Star_key","Mass","Relative Density","RELATIVE RADIUS","terrain type","Type Of Climate"
472,"Eternal Murmurs Si",6345,4.94,1.403,1.52,"river; hill","arid; artic"
473,"Eternal Murmurs Ba",6345,0.5,0.786,0.86,"canyons; scrubland","arid; subartic; superheated"
474,"Eternal Murmurs Shi",6345,1.88,1.052,1.21,"river; rocky canyon; forest; city","frigid; hot; temperate"
475,"Alcor Omega",35,7.99,0.501,2.52,"fungus forest; valley; forest","humid; temperate; superheated"
476,"Alcor Omicron",35,6.38,1.199,1.75,"valley; ocean","subartic; arid; tropical; superheated; artificial temperate"
477,"Alcor Sigma",35,1.83,0.675,1.39,"vine; bog; cave","temperate; tropical; rocky; arid"
478,"Alcor Epsilon",35,2.51,1.124,1.31,"cityscape; sea; lakes; desert; island","temperate; rocky; hot; windy"
479,"Astrylis Sextant",9587,2.4,0.986,1.35,"urban; cave; river; acid pool","hot; temperate; frigid; humid; windy; subartic"
480,"Porrima Decimal",1226,2.84,0.988,1.42,"verdant; field; rock arche; ocean; sea; toxic cloudsea; rocky desert","artic; frigid; artificial temperate; windy; hot; frozen"
481,"Porrima Septimal",1226,1.34,0.964,1.12,"grassy hill; lava river; desert; ice cave; cliff; lakes; rocky desert; volcano","hot; frigid; temperate; subartic; windy; artic"
482,"Salm XXI",1191,NA,1.062,1.62,"island; lava river","hot; tropical; subartic; rocky; windy"
483,"Muscida Vigesimal",8939,9.39,1.314,1.93,"reef; canyons; acid pool","temperate; rocky"
484,"Muscida Nonal",8939,6.27,0.648,2.13,"plain; glacier","frigid; artificial temperate; hot; tropical; windy; rocky"
485,"Muscida Undecimal",8939,8.34,0.548,2.48,"rocky desert; cave; lava river; mountain; field","artic; hot; windy; subartic"
486,"Sylvari Si",2639,2.31,1.076,1.29,"plain","arid; superheated"
487,"Sylvari Yi",2639,0.49,1.187,0.74,"toxic cloudsea; bog; ice canyon; grassland; tundra","frozen; rocky; humid; hot; windy; artic"
488,"Komorebi Cascade Liu",3201,5.82,0.833,1.91,"rocky island; grassy hill; hill; swamp; rocky canyon","frigid; artificial temperate; humid; tropical"
489,"Komorebi Cascade Jiu",3201,2.24,1.268,1.21,"hill; cityscape","windy; tropical"
490,"Komorebi Cascade Wu",3201,6.63,0.828,2,"plain","superheated; hot"
491,"Luminous Wraith Alpha",9948,2.88,0.827,1.52,"valley; river","frozen; artic; rocky"
492,"Luminous Wraith Pi",9948,1.18,1.048,1.04,"rainforest; fungus forest","artic; frozen; tropical; windy"
493,"Galaxaraith Vigesimal",4677,5.58,1.134,1.7,"lakes; rocky desert; fungus forest","tropical; artic; frigid; windy; superheated"
494,"Radiantara Qi",545,9.02,0.904,2.15,"tundra; lava river; volcano","hot; tropical; artificial temperate; temperate; artic"
495,"Ra's Whisper Shi",7149,2.71,1.077,1.36,"ash; vine","artic; hot; windy"
496,"Ra's Whisper Qi",7149,4.05,1.075,1.56,"ash; ocean; field","subartic; hot; temperate; arid"
497,"Alterf Ba",3688,2.05,1.306,1.16,"island; glacier; cliff","arid; tropical; windy; temperate; subartic"
498,"Alterf Wu",3688,2.01,0.952,1.28,"tundra","temperate; subartic"
499,"Hamal Secant",4368,5.61,0.631,2.07,"grassy hill","hot; humid"
500,"Hamal Quartal",4368,5.03,1.159,1.63,"rock arche","temperate; frozen; humid; tropical"
501,"Hamal Undecimal",4368,0.91,0.918,1,"fungus forest; glacier; toxic cloudsea; plain; jungle","frozen; tropical; rocky; humid"
502,"Celaeno Lambda",9338,1.5,0.865,1.2,"jungle","tropical; frozen"
503,"Koeia Qi",8321,6.41,1.059,1.82,"volcano; ocean; savanna; desert","humid; frozen; hot; frigid"
504,"Koeia Jiu",9793,0.75,0.963,0.92,"barren","arid; subartic"
505,"Phantasmal Echo VIII",4768,5.74,0.915,1.84,"reef; swamp; rocky island; jungle","artificial temperate; arid; frigid; tropical; windy; artic"
506,"Horus' Resonance Liu",5821,5.91,0.603,NA,"rocky desert; volcano; jungle; canyons; sinkholes","artificial temperate; artic; hot; temperate"
507,"Horus' Resonance Yi",5821,0.69,0.871,0.93,"valley; rock arche; ocean","arid; frigid; rocky"
508,"Brimstone Shi",583,2.74,0.532,1.73,"toxic cloudsea; ocean; valley; vine; rocky island","frigid; temperate; frozen"
509,"Brimstone Si",583,3.66,0.844,1.63,"fungus forest; sea; rocky canyon","tropical; arid; rocky"
510,"Brimstone Jiu",583,4.49,0.99,1.66,"hill","humid; subartic; hot; windy; tropical"
511,"Brimstone Ba",583,1.49,0.971,1.15,"field","rocky; windy; subartic; artic; hot"
512,"Fang Nonal",4265,0.95,1.035,0.97,"plain; urban; cave","rocky; frozen; humid"
513,"Fang Secant",4265,0.92,0.996,0.97,"plateau; jungle","superheated"
514,"Vorpal Abyss Pi",3155,6.34,1.206,1.74,"ocean; ice cave; island; jungle; river; cave; grassy hill","arid; humid; temperate; tropical; artic"
515,"Vorpal Abyss Nu",3155,0.58,0.982,0.84,"rainforest","artic; tropical"
516,"Vorpal Abyss Rho",3155,4.89,0.928,1.74,"forest; rainforest; verdant","hot; humid; frozen; rocky; frigid"
517,"Vorpal Abyss Epsilon",3155,5.81,0.837,1.91,"cityscape; field; fungus forest; rocky island; rocky canyon","humid; arid; windy; superheated; tropical; artificial temperate"
518,"Alzirr Rho",1212,2.15,1.172,1.22,"cityscape; rock arche; city; reef; island","windy; superheated; artificial temperate; humid"
519,"Helionara II",5116,5.58,1.423,1.58,"jungle; canyons","superheated; rocky; hot; arid"
520,"Helionara XX",5116,1.62,0.992,1.18,"forest","arid; artic; rocky; frigid; tropical"
521,"Kamikaze Resonance Qi",7419,0.35,0.845,0.75,"cave; acid pool; volcano","tropical; windy; superheated; artificial temperate; rocky"
522,"Secunda Hyadum Quintal",8699,NA,0.977,1.58,"field; lava river","subartic; humid; arid; tropical"
523,"Zavijava Iota",7060,2.19,1.086,1.26,"mountain; acid pool; swamp; vine; rock arche; fungus forest","frozen; temperate; humid; artificial temperate"
524,"Ginan V",3926,2.53,0.883,1.42,"sinkholes","hot"
525,"Ginan XXII",3926,0.54,1.345,0.74,"sea; river; hill","humid; subartic; windy"
526,"Ginan XXIII",3926,6.76,0.618,2.22,"cityscape; rock arche; lakes","tropical; arid; rocky"
527,"Pyramid Radiance Mu",7983,8.45,1.141,1.95,"rocky desert; swamp; ocean; grassy hill","frozen; artificial temperate; artic; arid; humid"
528,"Pyramid Radiance Xi",7983,0.46,0.825,0.82,"cityscape; grassy hill; ice cave; jungle; reef","rocky; frozen; hot; superheated; subartic; humid"
529,"Haedus Olympios",2662,6.4,0.816,1.99,"ash; lakes; barren; volcano","frozen; tropical; hot; arid"
530,"Athebyne Eta",9344,8.38,0.759,2.23,"tundra; fungus forest; verdant; island","frozen; hot; temperate; superheated; artic"
531,"Athebyne Pi",9344,4.65,1.241,1.55,"rocky desert","artificial temperate; arid; superheated"
532,"Spectral Threshold Nonal",5144,3.44,1.097,1.46,"hill; valley; lava river","frigid; hot"
533,"Denebola XXIII",2489,2.03,0.948,1.29,"bog; scrubland; ash; barren; plain; rock arche","hot; tropical; arid; humid"
534,"Denebola XV",2489,9.17,0.9,2.17,"ice canyon; plateau; lakes; glacier; scrubland","temperate; frigid; rocky; arid; tropical"
535,"Denebola IV",2489,7.46,1.408,1.74,"hill; rocky desert","frozen"
536,"Denebola XVIII",2489,3.13,0.923,1.5,"mountain; ocean; island; verdant","superheated; artificial temperate; hot"
537,"Franz IV",9476,5.86,1.098,1.75,"city; volcano; jungle","superheated; windy; frozen"
538,"Franz XV",9476,6.11,1.279,1.68,"valley; mountain; river","artic; subartic; superheated"
539,"Pipirima Prime",7604,1.24,0.944,1.1,"valley; river; rainforest","arid; frozen; tropical"
540,"Pipirima Vigesimal",7604,0.46,1.142,0.74,"reef; sea; lava river","hot; artificial temperate; rocky"
541,"Pipirima Secant",7604,2.43,0.546,1.64,"grassy hill; ash; river; rocky island; swamp; grassland; field; jungle","temperate; rocky; hot; frigid; tropical"
542,"Amadioha Hermesios",4185,3.14,1.035,1.45,"mountain","artic; subartic"
543,"Abyssal Echoes Iota",4580,1.77,0.953,1.23,"forest; field; lakes; swamp; tundra; volcano; ocean; hill","frozen; arid; frigid; humid; tropical; hot"
544,"Abyssal Echoes Psi",4580,6.2,0.859,1.93,"cityscape; lakes; hill; plain","artificial temperate; frozen; artic"
545,"Abyssal Echoes Chi",4580,1.21,0.975,1.07,"city; lakes","frozen; arid; rocky; artic"
546,"Abyssal Echoes Mu",4580,2.12,0.877,1.34,"vine","humid; superheated; arid"
547,"Skybreaker Hadean",9279,5.59,0.71,1.99,"cityscape; vine; canyons","hot; windy; tropical"
548,"Stormweaver Apollox",1336,4.98,1.39,1.53,"verdant; hill; jungle; sea","frigid; superheated; tropical; subartic"
549,"Lunar Mirage Gamma",2903,4.04,0.931,1.63,"urban","humid"
550,"Lurking Cosmos Septimal",3535,7.98,0.602,2.37,"fungus forest; savanna; river; urban","rocky; humid; arid; tropical"
551,"Nenque Sigma",473,1.83,1.245,1.14,"valley; city; plateau; glacier; ice canyon","frigid; subartic; frozen"
552,"Nenque Pi",473,NA,1.112,1.8,"swamp; rock arche; hill; island; fungus forest; savanna","humid; hot; temperate; windy; rocky"
553,"Homam Octal",3135,4.87,0.816,1.81,"plain","superheated; hot"
554,"Astromara XIX",3034,2.29,1.122,1.27,"cityscape; ice cave; hill","subartic; frozen; temperate"
555,"Sakura Seraph Nemesisian",5321,1.85,0.809,1.32,"sea; rocky island; urban","temperate; artificial temperate; tropical"
556,"Sora Dionysios",7449,3.57,0.848,1.61,"ice cave","frigid; subartic; temperate"
557,"Tarazed Centaurios",4734,8.36,0.722,2.26,"desert; glacier","artificial temperate; frigid; superheated; windy"
558,"Zubeneschamali Aetherios",5796,5.32,1.209,1.64,"ice canyon; bog; cave; toxic cloudsea","rocky; frozen; subartic; windy; tropical; artificial temperate"
559,"Zubeneschamali Olympios",5796,0.6,0.874,0.88,"cliff","windy; artificial temperate; arid"
560,"Zubeneschamali Sirenios",5796,4.78,1.062,1.65,"island; vine; rocky canyon; rocky desert; plateau; mountain","rocky; frozen; artic; temperate"
561,"Zubeneschamali Tritonian",5796,8.67,1.117,1.98,"glacier; rocky desert","windy; frozen"
562,"Alsciaukat Nonal",4435,0.42,0.927,0.77,"rock arche; rocky canyon; rocky desert; ash; hill; swamp","subartic; humid; tropical; hot"
563,"Alsciaukat Sextant",4435,4.69,1.463,1.47,"volcano; mountain; cave; ocean","frigid; frozen; superheated"
564,"Orionara Jiu",4576,4.9,1.325,1.55,"volcano; cave; island; lava river; ice cave; fungus forest; rocky canyon","hot; frozen; humid; windy; superheated; tropical"
565,"Orionara Yi",4576,6.98,0.625,2.23,"plateau; tundra","subartic"
566,"Orionara Ba",4576,4.05,0.986,1.6,"field","temperate; superheated"
567,"Orionara Si",4576,4.09,1.007,1.6,"ice cave; cityscape; tundra; ash; bog","tropical; rocky; windy; frigid; superheated"
568,"Aetherionyx XXI",3838,7.11,0.681,2.19,"rocky island","temperate"
569,"Aetherionyx XIX",3838,3.78,1.095,1.51,"ice cave; cityscape","artic; subartic; temperate; artificial temperate"
570,"Umbral Depths Mu",7874,8.77,1.088,2,"field; fungus forest; glacier; jungle","frozen; frigid; hot; artic"
571,"Obelisk Whisper XV",1808,2.85,0.94,1.45,"river; tundra","superheated; rocky"
572,"Cryptic Nebula Pegasusian",5528,1.77,0.499,1.53,"plain; cityscape","frigid; subartic; superheated; windy"
573,"Errai Nu",2952,4.31,0.59,1.94,"vine; verdant; canyons","windy; humid; temperate"
574,"Haruka Echoes Nyxios",6863,3.2,0.571,1.78,"lakes","artic; artificial temperate; frigid; rocky"
575,"Haruka Echoes Hermesios",6863,1.01,1.032,0.99,"valley; reef; fungus forest; rock arche","frigid; hot; superheated; rocky; frozen; humid"
576,"Násti Nonal",8986,3.76,0.984,1.56,"island; desert; cave","frigid; arid; temperate; windy; subartic"
577,"Násti Septimal",8986,0.94,0.516,1.22,"glacier; city; river","artic; frozen; arid; rocky"
578,"Tsuki's Beacon Beta",1898,4.72,1.086,1.63,"jungle; rocky desert","humid"
579,"Bélénos Psychean",9186,6.92,0.96,1.93,"ice canyon; reef; sea; mountain; field","hot; subartic; frozen"
580,"Starlight Shroud Nonal",172,8.18,1,2.01,"glacier; plain; savanna","arid; hot; tropical; frozen; humid; artic; rocky"
581,"Starlight Shroud Prime",172,1.83,1.073,1.19,"city","humid; rocky; tropical; artificial temperate"
582,"Shinju XXIV",5621,2.63,1.057,1.36,"city; ocean; rocky canyon; rocky island","rocky; artificial temperate; frozen; arid"
583,"Orion's Haven XV",3802,3.11,1.002,1.46,"barren; rocky canyon; island; volcano; mountain; lava river; vine; plateau","subartic; artic; frigid; frozen; arid"
584,"Orion's Haven XXIII",3802,1.23,0.756,1.18,"fungus forest","hot; artic; tropical; humid"
585,"Nebulithra Tritonian",355,1.64,1.386,1.06,"valley; cliff","frozen; humid"
586,"Ancha Hermian",5209,0.54,0.935,0.83,"forest; savanna; plain","superheated; artic; rocky; arid"
587,"Ancha Apollox",5209,3.64,1.413,1.37,"rocky canyon","windy; temperate"
588,"Bubup Qi",7196,2.26,1.096,1.27,"rocky desert; volcano","frigid; superheated; windy; arid"
589,"Bubup Wu",7196,1.62,1.042,1.16,"vine; plain; desert; rainforest; urban; field; sinkholes","hot; subartic; humid; windy; arid; artificial temperate"
590,"Bubup Jiu",7196,2.52,0.775,1.48,"sinkholes; tundra; glacier; island; ice canyon","hot; frigid; arid; subartic; artificial temperate"
591,"Muspelheim Athenian",4509,1.38,0.833,1.18,"jungle; ash; grassland; lakes; jungle","artic; windy; superheated; arid; temperate; hot"
592,"Shogun's Resonance Alpha",6300,2.1,0.579,1.54,"river; cliff; cityscape","artic; frozen"
593,"Shogun's Resonance Omicron",6300,0.6,1.119,0.81,"grassland; fungus forest","windy; superheated; humid"
594,"Shogun's Resonance Mu",6300,NA,0.99,1.71,"field","artificial temperate"
595,"Shogun's Resonance Eta",6300,0.65,0.607,1.02,"cityscape; lava river","artificial temperate; frozen; windy; superheated; artic; hot"
596,"Menkar Oranos",7158,6.88,1.293,1.75,"cave; cliff; verdant","arid; hot"
597,"Crimson Enigma Nonal",705,5.78,0.608,2.12,"fungus forest; city; rainforest; urban","tropical; frozen; frigid"
598,"Crimson Enigma Undecimal",705,2.16,0.84,1.37,"reef; forest; verdant; ocean; acid pool; desert","rocky; subartic; frigid; artificial temperate"
599,"Crimson Enigma Secant",705,7.22,1.311,1.77,"rocky desert","frozen; rocky; windy; humid"
600,"Nemea Residue XXII",5040,9.03,1.076,2.03,"vine; acid pool","arid; hot"
601,"Nemea Residue XXIV",5040,1.07,1.581,0.88,"acid pool","superheated; temperate"
602,"Sabik XXII",2377,8.75,1.242,1.92,"forest","hot; temperate; frigid"
603,"Irena Theta",1676,1.32,1.294,1.01,"ash; plain; vine","frozen; hot; rocky; frigid; artic; subartic"
604,"Morava Pantheon",2538,2.22,1.138,1.25,"forest","artic; temperate; frigid; tropical; rocky"
605,"Uchū Hestian",7924,2.15,1.207,1.21,"jungle","humid; subartic; temperate; artic"
606,"Pharaoh's Veil Astraeos",7146,5.51,0.975,1.78,"jungle; cave","superheated; subartic; tropical"
607,"Pharaoh's Veil Olympios",7146,8.15,0.901,2.08,"hill","artificial temperate; frozen; temperate"
608,"Alula Borealis Alpha",6237,NA,0.664,2.11,"rocky desert; acid pool; swamp","humid; artificial temperate; temperate; frozen"
609,"Alula Borealis Omega",6237,1.91,1.097,1.2,"valley; urban","frozen; humid"
610,"Alula Borealis Epsilon",6237,1.4,1.248,1.04,"lakes","superheated; windy; artic"
611,"Inazuma Hermesios",3265,8.02,0.794,2.16,"reef; mountain; acid pool; urban; scrubland","humid; rocky; arid"
612,"Cassioflux Yi",9956,2.13,0.883,1.34,"city; ocean","frigid"
613,"Cassioflux Jiu",9956,7.39,1.104,1.88,"river","frigid; arid; rocky; hot; humid; superheated; artificial temperate"
614,"Cassioflux Er",9956,0.47,0.681,0.88,"field; valley; plateau","temperate; frigid; subartic"
615,"Miram Gamma",4912,2.4,1.013,1.33,"grassy hill; cityscape","temperate; humid; artificial temperate; arid"
616,"Aludra Pi",6862,5.92,0.996,1.81,"river","superheated; temperate; tropical; frigid; subartic; windy"
617,"Yoru Ascendance Wu",9095,3.2,0.78,1.6,"forest; grassy hill; barren; volcano","artic; humid; arid"
618,"Yoru Ascendance Ba",9095,2.61,0.646,1.59,"mountain; ice cave; plain; acid pool; river; barren; valley","arid; artificial temperate; superheated; artic; hot; rocky; windy"
619,"Asterion Enigma Epsilon",728,3.3,0.742,1.64,"glacier","humid; frozen; artic"
620,"Asterion Enigma Theta",728,1.27,0.864,1.14,"tundra; desert; ice cave; plain","frozen; temperate; artificial temperate; superheated; humid; windy; tropical"
621,"Arcturus Si",2493,2.42,0.751,1.48,"swamp; cityscape; grassy hill","artificial temperate; tropical"
622,"Arcturus Er",2493,0.35,1.09,0.68,"cave; verdant; plateau; ocean; ice cave; field","tropical; windy; humid; artic; arid; superheated"
623,"Arcturus Shi",2493,8.58,1.005,2.04,"verdant","humid; subartic"
624,"Arcturus Liu",2493,5.42,1.342,1.59,"bog; vine; cityscape","arid; frozen; tropical"
625,"Cosmaraith XI",679,1.26,0.92,1.11,"cityscape; reef; vine; volcano; cliff","subartic; temperate; windy; humid; hot"
626,"Mimosa II",1976,3.58,1.562,1.32,"fungus forest; reef; city","humid; tropical"
627,"Sekhmet's Resonance Shi",4523,1.54,0.716,1.29,"rocky desert; bog; jungle","frozen; frigid; tropical"
628,"Sekhmet's Resonance Jiu",4523,1.61,0.94,1.2,"island; rock arche","rocky; artificial temperate; frigid"
629,"Sekhmet's Resonance Yi",4523,1.37,0.884,1.16,"field","arid; hot; frigid; windy"
630,"Sekhmet's Resonance Si",4523,3.1,1.215,1.37,"sea; grassland; ice canyon","artic; temperate; windy"
631,"Shizuku Seraph VIII",1657,7.71,1.288,1.82,"grassland","frozen; temperate; subartic; artificial temperate; arid; tropical; windy"
632,"Shizuku Seraph IX",1657,6.07,1,1.82,"rocky desert; plateau; barren","arid; tropical; subartic; windy; hot"
633,"Bastet's Silence V",4282,2.98,0.728,1.6,"sea","artificial temperate; artic; tropical; temperate"
634,"Uchū Veil Yi",318,4.16,1.224,1.5,"valley; lakes","arid; frigid; subartic; tropical; frozen"
635,"Uchū Veil Liu",318,0.97,0.723,1.1,"rainforest","humid; superheated; artificial temperate; arid; rocky; windy"
636,"Geisha's Echo Aphroditos",9920,5.24,0.858,1.83,"rocky desert; urban; mountain","superheated; frozen; tropical; artic; subartic"
637,"Clandestine Nebula San",1132,3.59,0.709,1.72,"lakes; savanna; forest","windy; superheated; tropical"
638,"Clandestine Nebula Qi",1132,2.31,1.001,1.32,"reef; verdant; cityscape; cave; rock arche; cliff; ice canyon","frigid; tropical; hot; subartic; artificial temperate"
639,"Clandestine Nebula Si",1132,2.16,0.756,1.42,"sinkholes; rainforest; ocean; plain","superheated; subartic; windy; artificial temperate"
640,"Clandestine Nebula Shi",1132,NA,1.086,1.48,"grassland; rocky desert; lakes","humid; frozen; artic"
641,"Mystic Expanse Astraeos",4581,7.77,1.177,1.88,"ice canyon; savanna; canyons","artificial temperate; rocky; frozen; arid"
642,"Mystic Expanse Titanos",4581,2.3,0.935,1.35,"reef; grassland","artic; temperate; subartic; frozen; windy"
643,"Mystic Expanse Irisian",4581,0.78,1.088,0.9,"lava river; urban","hot"
644,"Mystic Expanse Nymphios",4581,3.09,1.022,NA,"mountain; plateau; valley; glacier; jungle; river; toxic cloudsea","superheated; windy; artic; frozen; temperate; frigid"
645,"Vindemiatrix Psi",9337,4.33,0.968,1.65,"tundra; cityscape; cave; vine; field; glacier","tropical; frozen; artic; subartic; arid"
646,"Tupi Chi",2804,3.4,0.823,1.6,"sea","frigid; rocky; arid"
647,"Tupi Omega",2804,1.28,1.071,1.06,"desert; ice canyon; rocky island; barren; glacier; rock arche","frigid; artificial temperate; windy; arid; subartic"
648,"Tupi Sigma",2804,2.36,0.72,1.49,"rocky island; sea; river; island; mountain; jungle; ash","frigid; frozen; arid; humid; temperate; rocky; hot"
649,"Geminga Rho",6350,3.08,1.019,1.45,"vine; forest","hot; rocky; arid; tropical; subartic; humid; artic"
650,"Hanabi Mu",1424,2.83,0.837,1.5,"cliff; urban","arid"
651,"Márohu Decimal",5122,1.95,0.942,1.27,"ice canyon; lakes; jungle; grassland; mountain; city; field","rocky; artic; superheated; temperate; humid"
652,"Márohu Sextant",5122,3,0.985,1.45,"rocky desert","windy; frozen; subartic"
653,"Márohu Duodecimal",5122,NA,1.095,1.8,"tundra","rocky"
654,"Márohu Quintal",5122,0.98,0.748,1.09,"sea; forest; lakes; verdant","artic; artificial temperate; tropical; hot"
655,"Tojil Iota",9722,2.89,1.229,1.33,"mountain; rocky island","artificial temperate"
656,"Tojil Tau",9722,1.55,0.636,1.35,"volcano","frigid; arid; temperate; artic"
657,"Tojil Delta",9722,7.45,0.96,1.98,"jungle; rock arche; lava river","hot; temperate; windy; superheated"
658,"Tojil Theta",9722,1.87,1.151,1.18,"canyons; toxic cloudsea; acid pool; sea","superheated; humid; artic; subartic; arid"
659,"Rapeto Secant",3380,NA,0.895,2.19,"acid pool; vine; jungle; sinkholes","artic; superheated; arid"
660,"Rapeto Sextant",3380,4.25,0.901,1.68,"grassy hill; city; river; tundra; vine","artic; windy; tropical; humid"
661,"Sargas Nemesisian",4379,1.93,1.204,1.17,"cave","rocky; tropical; hot; temperate; frigid; artificial temperate"
662,"Avior Xi",4867,1.43,0.86,1.18,"reef; cave","tropical; humid; rocky; arid; temperate; subartic; frigid"
663,"Wazn Alpha",4332,5.47,0.864,1.85,"volcano; rock arche; jungle; cityscape","arid; superheated; subartic; hot"
664,"Wazn Upsilon",4332,0.75,0.842,0.96,"verdant; tundra; rainforest","hot; frigid; superheated"
665,"Praecipua Dionian",6480,4.67,0.795,1.8,"mountain; rock arche; glacier; jungle; bog","tropical; artic; humid; temperate"
666,"Praecipua Helios",6480,0.6,0.523,1.05,"tundra","hot; artic; humid; subartic"
667,"Praecipua Irisian",6480,1.17,1.017,1.05,"field; tundra; cliff; vine; ocean","humid; arid; artic"
668,"Praecipua Chimeraean",6480,2.53,1.034,1.35,"ocean; cityscape","frigid; frozen; humid; superheated; temperate; rocky"
669,"Skjoldr Shi",4959,1.07,1.323,0.93,"rock arche; cityscape; grassy hill; vine; plain","arid; rocky; windy; artic; frozen; temperate"
670,"Skjoldr Yi",4959,4.81,1.088,1.64,"island","arid; temperate"
671,"Ma'at's Silence XVIII",4567,1.27,0.79,1.17,"city; urban; reef; lava river","frozen; rocky; frigid; superheated; humid"
672,"Umbra Veil Helios",6385,5.81,1.155,1.71,"swamp; field; ocean; cityscape; jungle; valley","artificial temperate; tropical; frigid; frozen"
673,"Dofida Pantheon",6019,2.5,0.581,1.63,"lava river; tundra; rocky island; verdant; cliff","artificial temperate; superheated; rocky; windy"
674,"Geisha's Mirage Kappa",9511,6.2,0.861,1.93,"rocky canyon; ice cave; bog; jungle","hot; artic; windy; tropical"
675,"Geisha's Mirage Epsilon",9511,0.58,0.65,0.96,"cave","artificial temperate; humid; superheated"
676,"Geisha's Mirage Beta",9511,7.24,0.977,1.95,"cityscape; desert; valley","arid; frozen"
677,"Alnilam Octal",5592,5.28,0.816,1.86,"plateau; rainforest; verdant; hill","superheated; frozen; subartic; frigid; artic"
678,"Alnilam Nonal",5592,1.56,1.018,1.15,"fungus forest; plain; tundra; ice canyon; grassy hill","superheated; hot; artic; subartic"
679,"Achernar VIII",3154,3.09,1.271,1.34,"river; ash","hot; windy; rocky"
680,"Yed Posterior VII",8222,2.5,0.95,1.38,"plain; cityscape; rocky canyon; desert","humid; artificial temperate; rocky"
681,"Aurora Anomaly Janusian",9231,1.98,1.07,1.23,"verdant","windy; rocky"
682,"Aurora Anomaly Atlasios",9231,4.1,1.148,1.53,"urban; city; fungus forest; river; rocky desert","humid; arid; hot"
683,"Starshard XII",5915,2.71,0.682,1.58,"sea; field; verdant","hot; humid"
684,"Adhara Oranos",8776,2.79,0.715,1.57,"vine","artificial temperate"
685,"Stellarastra Aetherios",9022,1.7,1.322,1.09,"jungle; savanna","tropical"
686,"Stellarastra Gaios",9022,5.66,1.083,1.74,"rocky canyon; tundra","frozen; tropical; hot"
687,"Stellarastra Apollox",9022,1.64,1.163,1.12,"plain; island; reef; cave; savanna","hot; subartic; windy; humid"
688,"Stellarastra Tritonian",9022,7.17,0.832,2.05,"verdant; field; canyons; jungle; hill","frigid; subartic; arid; artic; artificial temperate; tropical"
689,"Sceptrum Nu",3290,9.1,1.124,2.01,"desert; cliff","hot; subartic"
690,"Pollux Secant",3470,6.84,0.942,1.94,"jungle; acid pool; rainforest; lakes; island; canyons","tropical; artic; frozen; superheated"
691,"Pollux Quartal",3470,2.45,0.788,1.46,"rainforest; cave; sinkholes; plain; sea","hot; humid; artificial temperate"
692,"Pollux Nonal",3470,1.06,1.108,0.99,"ocean; rocky island; island","rocky; frigid"
693,"Pollux Sextant",3470,2.07,1.129,1.22,"cliff; bog; grassland; savanna","temperate; frozen; superheated"
694,"Castor XIV",8395,5.01,0.928,1.75,"rocky island","arid; frigid; rocky; superheated; humid; hot; artic"
695,"Astrum Cryptic Nereidos",302,3.69,1.204,1.45,"sea; mountain; canyons; lava river; reef","superheated; frigid; windy; frozen"
696,"Zenithrion Hadean",2900,0.95,1.191,0.93,"glacier; plateau; barren; sea; fungus forest","humid; arid; artificial temperate; subartic"
697,"Zenithrion Cerberian",2900,5.03,0.839,1.82,"barren; sea; rocky island; city","artificial temperate; rocky; subartic; arid; frozen; artic"
698,"Riftwarder Centaurios",1269,2.02,0.87,1.32,"grassland; ash; cave; lakes; hill; valley","temperate; superheated; hot; frozen"
699,"Riftwarder Janusian",1269,1.38,1.075,1.09,"island; cityscape; reef","windy; artic; frigid"
700,"Cosmosis XIX",4354,2.73,1.112,1.35,"mountain","frozen; humid; tropical; hot"
701,"Sika Alpha",9696,0.83,0.974,0.95,"savanna","humid; superheated; arid; temperate; subartic"
702,"Sika Rho",9696,3.6,1.036,1.51,"swamp; field; toxic cloudsea; reef; verdant","frigid; artificial temperate; artic; tropical; rocky; hot"
703,"Sika Nu",9696,2.75,0.892,1.46,"scrubland; cityscape; rock arche; bog","windy; subartic; arid; humid; frozen"
704,"Sika Sigma",9696,1.16,1.099,1.02,"plain; verdant","rocky"
705,"Liesma Cerberian",7332,4.11,0.638,1.86,"cityscape; plateau","artic; rocky; subartic"
706,"Liesma Persephonian",7332,1.76,0.95,1.23,"canyons","windy; frigid; frozen; artificial temperate; subartic; artic; arid"
707,"Heliconian Whispers Olympios",4810,NA,1.235,NA,"mountain","frozen; arid; tropical; artic; temperate; superheated; subartic"
708,"Vesperian Whimsy Rho",1856,7.12,1.047,1.89,"river; ice cave","artificial temperate; frigid; artic; subartic"
709,"Vesperian Whimsy Mu",1856,2.61,1.349,1.25,"reef; swamp; canyons; mountain; grassland","superheated; subartic; temperate; humid; artificial temperate"
710,"Vesperian Whimsy Epsilon",1856,0.79,0.48,1.18,"rocky canyon; jungle; forest; island; sinkholes; ocean; reef","superheated; rocky; tropical; temperate; frigid"
711,"Luminous Ember Harpian",9849,1.24,0.883,1.12,"sinkholes; urban; vine; jungle; plain; rock arche","windy; superheated; artificial temperate; temperate; subartic"
712,"Luminous Ember Nemesisian",9849,5.14,0.741,1.91,"forest; city; volcano; urban; grassy hill; bog; reef; island","temperate; windy; artificial temperate; superheated; frozen; artic; arid"
713,"Obsidian Threshold Eta",5267,1.59,1.085,1.14,"sea","artificial temperate"
